sample_id,text,intent,retrieval_similarity,historical_evidence,generated_reply
41,"Hey, @SpotifyCares, we want to create lists with our podcast episodes! 😝",FEATURE_REQUEST,0.3981282411282624,"[{'customer_message': '@SpotifyCares we want reputation', 'spotify_reply': ""@731458 Hey Lara. Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /VK"", 'customer_tweet_id': np.int64(2580713), 'spotify_reply_id': np.int64(2580712), 'similarity': 0.3981282411282624}, {'customer_message': '@SpotifyCares Can I make a playlist of podcast episodes? Coming soon? Sooner please?', 'spotify_reply': ""@582362 Hey! We're afraid this isn't possible, but you can suggest it in our Community at https://t.co/rtDvYZOF32 & get support from other users /NS"", 'customer_tweet_id': np.int64(1964313), 'spotify_reply_id': np.int64(1964311), 'similarity': 0.2770935451648496}, {'customer_message': '@SpotifyCares how do we put our podcast on Spotify??? Thanks', 'spotify_reply': '@649746 Hey, thanks for your interest! For more info on getting your podcast on Spotify, check out: https://t.co/D5baW5biel 🙂 /JT', 'customer_tweet_id': np.int64(2225754), 'spotify_reply_id': np.int64(2225753), 'similarity': 0.2680274034219511}]","We're afraid this isn't possible at the moment, but you can suggest it in our Community at https://community.spotify.com/ and get support from other users."
57,"@SpotifyCares i changed my Facebook profile picture back in may and although it has updated on your website, it has not on my app, both on laptop and phone",APP_TECHNICAL_ISSUE,0.2278403727090571,"[{'customer_message': '@SpotifyCares no it has not crashed at all.', 'spotify_reply': '@334234 Just to check, did you definitely watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /RB', 'customer_tweet_id': np.int64(902415), 'spotify_reply_id': np.int64(902414), 'similarity': 0.2278403727090571}, {'customer_message': '@SpotifyCares i changed my email on facebook and it’s not updating on spotify', 'spotify_reply': ""@491857 Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ"", 'customer_tweet_id': np.int64(1602430), 'spotify_reply_id': np.int64(1602429), 'similarity': 0.2144738751810986}, {'customer_message': ""@115888 How can I change profile name and picture? I don't want to link with my Facebook  profile."", 'spotify_reply': ""@573288 Hey, the cavalry's here! Can you send us a DM with your account's email address? We'll see what we can suggest /NJ https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(1926287), 'spotify_reply_id': np.int64(1926286), 'similarity': 0.21022099567078295}]",Hey! We'd be happy to help. Can you send us a DM with your account's email address?
67,"@115888 why can't you do this for metal, metal-core, hardcore, ect???? https://t.co/4HMjznIFNg",FEATURE_REQUEST,0.4228249685258445,"[{'customer_message': '@115888 why do you do this', 'spotify_reply': '@611293 Hi there! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. Hope this info helps /DR', 'customer_tweet_id': np.int64(2067206), 'spotify_reply_id': np.int64(2067205), 'similarity': 0.4228249685258445}, {'customer_message': '@115888 Y you do this?! https://t.co/M6752ahqtT', 'spotify_reply': ""@690150 Hey Levi! Currently, you can only download 3,333 songs for offline use per device, on a maximum of 3 different devices. We'd suggest supporting this idea in our Community to help make the increase happen: https://t.co/XncParYphj /SY"", 'customer_tweet_id': np.int64(2947635), 'spotify_reply_id': np.int64(2947634), 'similarity': 0.4010935779277749}, {'customer_message': '@SpotifyCares can you do this on iphone?', 'spotify_reply': '@570431 Hey! To bring back your deleted playlists, just head here: https://t.co/GBiFQ1dMbA. We hope that helps 🙂 /NJ', 'customer_tweet_id': np.int64(12101), 'spotify_reply_id': np.int64(1915086), 'similarity': 0.3389903118268916}]","We appreciate your feedback! We're always working to improve the Spotify experience. If you have specific suggestions for new features or content, we recommend sharing them in our Community."
73,"@SpotifyCares Yep. All that I tried. Even uninstalled, restarted. Removed all data by hand. Installed again. The default settings was set to SD card, but all music ended on the internal storage.",GENERAL_OTHER,0.32986231415279754,"[{'customer_message': '@SpotifyCares 36.1Gb free \nSpotify 8.4.24.871armV7 \nAndroid 6.0\n\nWhen I set the storage to SD card, after the reboot it is again set to internal storage.', 'spotify_reply': '@435557 Alright. Can you try reinstalling the app using the steps here: https://t.co/EqisDMwZAT? Keep us posted /LM', 'customer_tweet_id': np.int64(1353056), 'spotify_reply_id': np.int64(1353054), 'similarity': 0.32986231415279754}, {'customer_message': ""@SpotifyCares I have a moto g4 with sd card set as internal storage. I can't move my music to sd card. I don't have enough space to not"", 'spotify_reply': ""@410991 Hey, help's here! Can you tell us what Android and Spotify versions you're using? We'll see what we can suggest /CH"", 'customer_tweet_id': np.int64(1240607), 'spotify_reply_id': np.int64(1240604), 'similarity': 0.2822122365275742}, {'customer_message': '@SpotifyCares yep it’s the default on both !', 'spotify_reply': ""@525734 OK. Could you DM us the email address linked to your account? We'll take a look backstage 🔍 /T https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(1742948), 'spotify_reply_id': np.int64(1742950), 'similarity': 0.2708339835855275}]",Thanks for letting us know what you've tried. Can you tell us what Android and Spotify versions you're using? We'll see what we can suggest.
75,"@115888 Hey! I can't sign in with my username and password with my TouchTunes @90737 new account. My Samsung mobile account needs updating, too! @125607 I CHANGED my name legally this year. Problems tonight as I am out TRYING to have a good time!",ACCOUNT_LOGIN_SECURITY,0.24621221000316923,"[{'customer_message': ""@SpotifyCares i can't sign in"", 'spotify_reply': ""@359769 Hi! We've sent a bit more info via DM. Let's carry on chatting there /AY"", 'customer_tweet_id': np.int64(1013277), 'spotify_reply_id': np.int64(1013276), 'similarity': 0.24621221000316923}, {'customer_message': '@115888 why can’t I sign in or make a account', 'spotify_reply': ""@740011 Hi there! Can you let us know what's happening exactly? Are you getting any specific error messages when trying to sign in/sign up? Also, are you doing this through the app or the browser? /LM"", 'customer_tweet_id': np.int64(2618574), 'spotify_reply_id': np.int64(2618573), 'similarity': 0.20160583169282187}, {'customer_message': ""@SpotifyCares I need help! I am trying to log into my account on my roku and it wants my username and password and I don't know it."", 'spotify_reply': ""@481498 Hi Kyle! We'd like to share more info about your account in private. Can we switch to DM instead? /MG https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(1557748), 'spotify_reply_id': np.int64(1557747), 'similarity': 0.19781541986101517}]",Hi there! We'd be happy to help you get back into your account. We've sent you a DM so we can get some more information.
80,@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK,FEATURE_REQUEST,0.2600229912042578,"[{'customer_message': '@115888 where the hell is Super Slimy?', 'spotify_reply': ""@676393 Hey Will! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /AY"", 'customer_tweet_id': np.int64(2338008), 'spotify_reply_id': np.int64(2338007), 'similarity': 0.2600229912042578}, {'customer_message': '@115888 Where’s the JPN Ver. Of BOOMBAYAH 🤔 https://t.co/vbG1O0q2AJ', 'spotify_reply': '@129639 Hey Leo! We’d love to have all of their stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /SY', 'customer_tweet_id': np.int64(59698), 'spotify_reply_id': np.int64(59696), 'similarity': 0.25536337402674536}, {'customer_message': 'dear @115888 , where the hell is  #REPUTATION', 'spotify_reply': ""@649737 Hey! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8Gpi4TeA /KM"", 'customer_tweet_id': np.int64(2225731), 'spotify_reply_id': np.int64(2225730), 'similarity': 0.248118174353956}]",We understand that changes to the user interface can be frustrating. Could you please provide more details about what you're seeing and what device you're using? This will help us understand the issue better.
87,@115888 @SpotifyCares please fix your artist.spotify contact page.,GENERAL_OTHER,0.4816563004643345,"[{'customer_message': '@178316 @SpotifyCares please fix? =)', 'spotify_reply': ""@178315 Hey there! We'd love to help. Can you let us know what's happening exactly? /RC"", 'customer_tweet_id': np.int64(261679), 'spotify_reply_id': np.int64(261678), 'similarity': 0.4816563004643345}, {'customer_message': 'Dear @115888. Your artist page for Looker is comprised of several different bands named Looker. Please fix.', 'spotify_reply': ""@310767 Hi there! The cavalry's here. Can you send over the URIs of the artist pages and the albums that should be on a separate page? /AU"", 'customer_tweet_id': np.int64(2898318), 'spotify_reply_id': np.int64(2898316), 'similarity': 0.39914676238012314}, {'customer_message': '@115888 PLEASE FIX YOUR APP https://t.co/2Xe0kngP3e', 'spotify_reply': ""@169364 Hey there! Everything should be running smoothly now. Let us know if you're still getting issues /GS"", 'customer_tweet_id': np.int64(2919301), 'spotify_reply_id': np.int64(2919300), 'similarity': 0.370033258329101}]",Hey there! We'd love to help. Can you let us know what's happening exactly?
90,"@115888 I'd like to get the premium version but here Is the case I don't have a credit card but I've enough fund in my Google play Store. Please I want find out if I can pay via Google play Store, BTC or iTunes gift card. Please waiting for your response. Thanks Gerd!!!",PAYMENT_BILLING,0.4918445175528884,"[{'customer_message': ""@SpotifyCares Hi, Please I don't have a credit card and I'd like pay via my Google play Store. Please I want to find out it's acceptable. Looking forward to your response..thank you."", 'spotify_reply': ""@244742 We've just sent you a DM. We'll carry on helping out there /AU"", 'customer_tweet_id': np.int64(538063), 'spotify_reply_id': np.int64(538065), 'similarity': 0.4918445175528884}, {'customer_message': '@SpotifyCares But I don’t have a credit card nor paypal :/ .. when the pay via itunes will be apply?', 'spotify_reply': ""@623924 We're afraid we have no info to share about this. No worries, we'll make sure they're passed on to the relevant folks /RC"", 'customer_tweet_id': np.int64(2116834), 'spotify_reply_id': np.int64(2116836), 'similarity': 0.27907589840640207}, {'customer_message': '@125633 Is there any chance that the app will be on Google Play Store?', 'spotify_reply': ""@370921 Hey Yassine! Not just yet, but we're planning on launching this soon. Stay tuned 🎶 /Q"", 'customer_tweet_id': np.int64(835854), 'spotify_reply_id': np.int64(1062629), 'similarity': 0.2439481069671106}]",We've sent you a DM to help with your payment options.
105,@SpotifyCares Not sure to be honest. No other issues with Spotify though at all.,APP_TECHNICAL_ISSUE,0.24844876522322054,"[{'customer_message': '@SpotifyCares Hahah thank you, do you take these suggestions seriously though, be honest haha?', 'spotify_reply': ""@806196 We do! It all boils down to licensing agreements though. Sometimes agreements are ongoing, or can't be reached with the content provider. Don't worry, we’ll have it available to you as soon as it’s available to us /KB"", 'customer_tweet_id': np.int64(2912359), 'spotify_reply_id': np.int64(2912360), 'similarity': 0.24844876522322054}, {'customer_message': ""@SpotifyCares Why do you guys set that limit? That's pretty silly to be honest"", 'spotify_reply': ""@379152 We understand how you might feel about this. We'll make sure to pass on your feedback to the right team /JS"", 'customer_tweet_id': np.int64(1098225), 'spotify_reply_id': np.int64(1098226), 'similarity': 0.23527223031209493}, {'customer_message': '@SpotifyCares Not sure about that.', 'spotify_reply': ""@765730 Sorry to hear you feel that way. We do our best to have them! But sometimes agreements are ongoing, or can't be reached with the content provider /PB"", 'customer_tweet_id': np.int64(2731507), 'spotify_reply_id': np.int64(2731506), 'similarity': 0.23411224705074354}]","Thanks for letting us know! To help us understand what's happening, could you tell us more about the issue you're experiencing?"
106,That moment when you wonder if you should be tweeting to @SpotifyCares or @comcastcares because not a single song has played without interruption... 😩,FEATURE_REQUEST,0.20325525907864228,"[{'customer_message': '@SpotifyCares Great non answer, you should be a politician', 'spotify_reply': ""@318328 Just to check, are all your Daily Mixes not updating? If so, can you DM us your account's email address or username? We'll take a look /PB"", 'customer_tweet_id': np.int64(2035675), 'spotify_reply_id': np.int64(2035677), 'similarity': 0.20325525907864228}, {'customer_message': '@SpotifyCares Wonder if @116935 has this same problem.', 'spotify_reply': '@542601 Hey. Sorry to hear that. Check the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /QI', 'customer_tweet_id': np.int64(1805867), 'spotify_reply_id': np.int64(1805866), 'similarity': 0.20152502350478765}, {'customer_message': '@SpotifyCares iPhone 8, iOS 11, and free Spotify. Not a single song in my playlist plays. It’s all recommended songs.', 'spotify_reply': ""@405924 Hmm, that's odd. Just to clarify, are you getting Suggested Tracks from the moment you hit the shuffle play button? /JM"", 'customer_tweet_id': np.int64(1218592), 'spotify_reply_id': np.int64(1218590), 'similarity': 0.1950951304506403}]","Sorry to hear you're having trouble with interruptions. To help us understand what's happening, could you tell us a bit more about what you're experiencing? For example, are you streaming over Wi-Fi or mobile data?"
107,@SpotifyCares when is yelawolf new album available on @116130,MUSIC_CONTENT_AVAILABILITY,0.5425688914624657,"[{'customer_message': '@SpotifyCares when is Nídia\'s new album ""Nídia É Má, Nídia É Fudida"" going to be available on spotify?', 'spotify_reply': ""@212633 Hi there, can you let us know where you're currently located? We'll take a look /ME"", 'customer_tweet_id': np.int64(409458), 'spotify_reply_id': np.int64(409456), 'similarity': 0.5425688914624657}, {'customer_message': '@116130 When is the new @128606 album available please?', 'spotify_reply': '@171401 Hi there! We’ll have it available to you as soon as it’s available to us. https://t.co/0i8GpimuDa /GK', 'customer_tweet_id': np.int64(232750), 'spotify_reply_id': np.int64(232749), 'similarity': 0.5030302588334636}, {'customer_message': ""@115888 where is Yelawolf's new album at? </3"", 'spotify_reply': '@233810 Hey there! Music availability all boils down to licensing agreements. We have more info here: https://t.co/VMrgnGpB4G /LM', 'customer_tweet_id': np.int64(1340985), 'spotify_reply_id': np.int64(1340984), 'similarity': 0.3845234682620904}]",Hi there! We'll have it available to you as soon as it's available to us.
109,Wait so when can we listen to #Reputation on @115888 ?? @118062,MUSIC_CONTENT_AVAILABILITY,0.5205007653631956,"[{'customer_message': 'so when can we get deadly dull on @115888 @35678 ?', 'spotify_reply': '@362952 We’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa /SU', 'customer_tweet_id': np.int64(1026765), 'spotify_reply_id': np.int64(1026764), 'similarity': 0.5205007653631956}, {'customer_message': 'why isn’t #Reputation on @115888 @118062 ??????', 'spotify_reply': ""@653050 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned. For now, check out the singles: https://t.co/3h0TnPWP0c /MC"", 'customer_tweet_id': np.int64(2239744), 'spotify_reply_id': np.int64(2239743), 'similarity': 0.4719704204883651}, {'customer_message': 'HOW CAN I LISTEN TO #reputation @115888 😞', 'spotify_reply': '@648213 We’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa /JN', 'customer_tweet_id': np.int64(2218995), 'spotify_reply_id': np.int64(2218994), 'similarity': 0.4012606899180914}]",We’ll have it available to you as soon as it’s available to us!
110,@SpotifyCares Listening to Spotify thru my web browser cuz I’m at work. It booted me out and won’t let me log back in. 😩,APP_TECHNICAL_ISSUE,0.450538068090805,"[{'customer_message': 'Why has my Spotify logged me out and won’t let me log back in? @SpotifyCares', 'spotify_reply': ""@594682 Hey, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /RS https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(2011043), 'spotify_reply_id': np.int64(2011042), 'similarity': 0.450538068090805}, {'customer_message': ""@117153 @SpotifyCares it logged me out of the app and won't let me log in?"", 'spotify_reply': '@709126 Hey Jaycee! Do you get an error message when trying to log in? Can you let us know the device/OS you’re using? /SJ', 'customer_tweet_id': np.int64(1230152), 'spotify_reply_id': np.int64(2481890), 'similarity': 0.3432910251897519}, {'customer_message': '@SpotifyCares it logged me out of my Spotify account  on all my devices and now it won’t let me log back in. Please help. Thanks', 'spotify_reply': ""@231406 Hey Preston, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt"", 'customer_tweet_id': np.int64(488815), 'spotify_reply_id': np.int64(488814), 'similarity': 0.31216450445951827}]",Hey there! We can help. Could you please DM us your account's email address or username? We'll take a look.
