sample_id,text,expected_intent,predicted_intent,expected_decision,predicted_decision,retrieval_similarity,reply,reason,error
107,@SpotifyCares when is yelawolf new album available on @116130,MUSIC_CONTENT_AVAILABILITY,MUSIC_CONTENT_AVAILABILITY,AUTO_HANDLE,AUTO_HANDLE,0.5425688914624657,,Intent is identifiable and similar historical support cases were found.,
109,Wait so when can we listen to #Reputation on @115888 ?? @118062,MUSIC_CONTENT_AVAILABILITY,MUSIC_CONTENT_AVAILABILITY,AUTO_HANDLE,AUTO_HANDLE,0.5205007653631956,,Intent is identifiable and similar historical support cases were found.,
110,@SpotifyCares Listening to Spotify thru my web browser cuz I’m at work. It booted me out and won’t let me log back in. 😩,ACCOUNT_LOGIN_SECURITY,APP_TECHNICAL_ISSUE,AUTO_HANDLE,AUTO_HANDLE,0.450538068090805,,Intent is identifiable and similar historical support cases were found.,
111,@SpotifyCares Apparently there is no contact form anymore. How do i get my issues fixed!,GENERAL_OTHER,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.28325172117238867,,Intent is identifiable and similar historical support cases were found.,
114,@SpotifyCares is there any Siri integration with Spotify?,FEATURE_REQUEST,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.3786915440595148,,Intent is identifiable and similar historical support cases were found.,
118,why The suburbs by @10789 is not available in @115888 :( ?,MUSIC_CONTENT_AVAILABILITY,MUSIC_CONTENT_AVAILABILITY,AUTO_HANDLE,AUTO_HANDLE,0.4868123942934143,,Intent is identifiable and similar historical support cases were found.,
120,"@SpotifyCares had an email from you saying my email address had been changed, meant I couldn't log in to change password. Advise please",ACCOUNT_LOGIN_SECURITY,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.3765019512520682,,Potential account security or unauthorized-access issue.,
123,@SpotifyCares Ok thanks! I voted to please build an app for it! I may have to switch to Apple music otherwise so I can run with playlists,FEATURE_REQUEST,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.3378080186127575,,Intent is identifiable and similar historical support cases were found.,
124,"@SpotifyCares Hello, my account got hacked recently. Could you please send a reply/help too ""__email__"" thank you!",ACCOUNT_LOGIN_SECURITY,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.4722203332387896,,Potential account security or unauthorized-access issue.,
129,@SpotifyCares I did. There's a plethora of users having problems with you app in Windows 10 Phone. Check the comments. Thanks you.,APP_TECHNICAL_ISSUE,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.26941654419921035,,Intent is identifiable and similar historical support cases were found.,
130,@SpotifyCares hellow I need some help with this i cant connect with the facebook app https://t.co/gzAygdZrEV,ACCOUNT_LOGIN_SECURITY,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.4324074534436054,,Intent is identifiable and similar historical support cases were found.,
133,"@117153 Good evening, folks changed my premium plan for family plan. My wife received an invitation but nothing happens.",FAMILY_STUDENT_PLANS,FAMILY_STUDENT_PLANS,AUTO_HANDLE,AUTO_HANDLE,0.2420079743387354,,Intent is identifiable and similar historical support cases were found.,
134,@SpotifyCares I’ve sent you a message and you’re not still responding,GENERAL_OTHER,GENERAL_OTHER,AUTO_HANDLE,AUTO_HANDLE,0.476736197161478,,Intent is identifiable and similar historical support cases were found.,
136,"@spotifycares Please help. I'm being charged twice a month, but only have one account. How can I locate the second account that's charging to my visa? I've tried suggestions on your help page and am stumped.",PAYMENT_BILLING,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.32526467500556233,,Billing or payment issue may require account-specific action.,
147,Hi @SpotifyCares My wife’s account appears to have stopped working. She can’t log in at all. Can you advise how we can check it’s active?,ACCOUNT_LOGIN_SECURITY,ACCOUNT_LOGIN_SECURITY,AUTO_HANDLE,AUTO_HANDLE,0.27770991425612046,,Intent is identifiable and similar historical support cases were found.,
151,@115888 did you know people move. And need to change their address to share family access to premium? Why can't I do that online? KTHXBYE,FAMILY_STUDENT_PLANS,FAMILY_STUDENT_PLANS,AUTO_HANDLE,AUTO_HANDLE,0.27484880536051365,,Intent is identifiable and similar historical support cases were found.,
162,@115888 why is it your system always has problems playing the commercials. I have 100mbs service and it always buffers. Maybe you should go to sound only!,PLAYBACK_ISSUE,MUSIC_CONTENT_AVAILABILITY,AUTO_HANDLE,ESCALATE,0.19879770787612475,,Insufficient similarity to historical Spotify support cases.,
168,"Gee, thanks @115888 for randomly deleting my entire library. So pumped to redownload everything all over again",PLAYLIST_LIBRARY,DOWNLOAD_OFFLINE,ESCALATE,ESCALATE,0.35559816556475465,,Potential account security or unauthorized-access issue.,
177,"@115888 hi, my account has locked me out &amp; won't let me submit a new password request. Help please!",ACCOUNT_LOGIN_SECURITY,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.28843356809207,,Potential account security or unauthorized-access issue.,
179,@SpotifyCares I've been dealing with a billing issue for more than an hour now. This entire thing could have been solved in less than 10 minutes.,PAYMENT_BILLING,GENERAL_OTHER,ESCALATE,ESCALATE,0.28996168286552093,,Billing or payment issue may require account-specific action.,
186,"@SpotifyCares My Facebook account is no longer active so I am unable to log into new devices, however I am still somehow logged into my account on several devices... how can I log in using my user ID: 1252945587",ACCOUNT_LOGIN_SECURITY,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.3865360338546436,,Potential account security or unauthorized-access issue.,
191,@SpotifyCares I have a premium subscription but Spotify account has changed to free account.Subscription on iPhone states it renews on 11/19,PREMIUM_SUBSCRIPTION,PREMIUM_SUBSCRIPTION,ESCALATE,ESCALATE,0.39586293549088064,,Subscription status may require checking the user's account.,
200,WHY ARE YOU GUYS STILL CHARGING ME I CANCELLED 3 MONTHS AGO @115888 @SpotifyCares,PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE,ESCALATE,0.4877105165268078,,Billing or payment issue may require account-specific action.,
203,"@115888 I paid for premium &amp; still hear commercials. You withdrew money from my account, but my spotify account shows no receipt. Now what?",ADS_FREE_TIER,PREMIUM_SUBSCRIPTION,ESCALATE,ESCALATE,0.3144197108446579,,Subscription status may require checking the user's account.,
204,@115888 trying to update my payment details and it takes me to this page and does not accept my NUS card number? NUS doesn't expire until 2020 https://t.co/9BMgYBiI6N,PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE,ESCALATE,0.32383657224743584,,Billing or payment issue may require account-specific action.,
206,@115888 sooo if i already had the student discount last year can i still get hulu?,FAMILY_STUDENT_PLANS,FAMILY_STUDENT_PLANS,AUTO_HANDLE,AUTO_HANDLE,0.3409325822353857,,Intent is identifiable and similar historical support cases were found.,
209,I really don't know why I keep paying for @115888 trash ass...how all my music disappear after I deleted and re downloaded the app #overit,PLAYLIST_LIBRARY,DOWNLOAD_OFFLINE,ESCALATE,ESCALATE,0.34178495524131536,,Potential account security or unauthorized-access issue.,
213,@115888 How can i avail this 9 PESOS premium??,PREMIUM_SUBSCRIPTION,PREMIUM_SUBSCRIPTION,AUTO_HANDLE,AUTO_HANDLE,0.6098179771194315,,Intent is identifiable and similar historical support cases were found.,
220,"@SpotifyCares Hello! I am trying to connect my Spotify with Hulu, but Hulu is saying that they are having trouble authorizing my account.",FAMILY_STUDENT_PLANS,FAMILY_STUDENT_PLANS,AUTO_HANDLE,AUTO_HANDLE,0.5025163242091766,,Intent is identifiable and similar historical support cases were found.,
233,@SpotifyCares yo just got the advert for a years Spotify for £99. Can’t find out how to do it though? Send me a link x,PREMIUM_SUBSCRIPTION,PREMIUM_SUBSCRIPTION,AUTO_HANDLE,AUTO_HANDLE,0.2549269515203347,,Intent is identifiable and similar historical support cases were found.,
248,@117153 @SpotifyCares On the website I have premium but on the app on my phone is still says free. And my bank statement says it went through. I don’t know?,PREMIUM_SUBSCRIPTION,APP_TECHNICAL_ISSUE,ESCALATE,ESCALATE,0.3630016253975312,,Billing or payment issue may require account-specific action.,
257,"@SpotifyCares My playlists don't sync between the Desktop app (on Mac), my phone (Android), and the web player. They're all different. Please help.",PLAYLIST_LIBRARY,APP_TECHNICAL_ISSUE,ESCALATE,ESCALATE,0.26885285338221465,,Account-specific playlist or library data may require support review.,
258,"@SpotifyCares Hello, I was suddenly logged out of my account today and am now unable to reset my password. My username is hannahbellbarnes and my email is __email__",ACCOUNT_LOGIN_SECURITY,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.41337988803735654,,Potential account security or unauthorized-access issue.,
260,Hey @116130 - is it possible to ACTUALLY shuffle music rather than just mix the 30/40 songs surrounding the one I selected?,PLAYBACK_ISSUE,PLAYBACK_ISSUE,AUTO_HANDLE,AUTO_HANDLE,0.2542353655446743,,Intent is identifiable and similar historical support cases were found.,
264,"@SpotifyCares hi ! My spotify app keeps playing random songs and not the one i want, its weird cuz when im on desktop works properly",PLAYBACK_ISSUE,PLAYBACK_ISSUE,AUTO_HANDLE,AUTO_HANDLE,0.2451230735585951,,Intent is identifiable and similar historical support cases were found.,
277,"@SpotifyCares I already tried this trial deal, and ever since it ran out Im having 4-5 ads them a song then another chain of ads. Not the way it should work. And on top of it, when I listen to ads that should give 30 min ad free, I still get ads after. Horrible experience so far.",ADS_FREE_TIER,ADS_FREE_TIER,AUTO_HANDLE,AUTO_HANDLE,0.2808332302621461,,Intent is identifiable and similar historical support cases were found.,
285,look spotify you can not just remove one man army from my downloads,DOWNLOAD_OFFLINE,DOWNLOAD_OFFLINE,AUTO_HANDLE,AUTO_HANDLE,0.21640187944150865,,Intent is identifiable and similar historical support cases were found.,
313,"Again, @115888 lost all my saved music. And since I’m on the subway I don’t have a steady internet connection to redownload.",PLAYLIST_LIBRARY,DOWNLOAD_OFFLINE,ESCALATE,ESCALATE,0.2906167765557075,,Account-specific playlist or library data may require support review.,
340,"@SpotifyCares when im listening to music it states that i can click the thing to get 30 minutes of ad free listening but when i go to click the part that has been there in the past, its not there so i cant do anything. it has done this about three times since i started listening today",ADS_FREE_TIER,ADS_FREE_TIER,AUTO_HANDLE,AUTO_HANDLE,0.37982993210902694,,Intent is identifiable and similar historical support cases were found.,
404,"@SpotifyCares I tried to get the premium student discount before realizing I'm not eligible, the payment went through &amp; I dont have premium",PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE,ESCALATE,0.3248866382825676,,Billing or payment issue may require account-specific action.,
410,@SpotifyCares um ive been using student discount for premium for ages but it suddenly charged me full price for last month??????,FAMILY_STUDENT_PLANS,FAMILY_STUDENT_PLANS,ESCALATE,ESCALATE,0.33596416607835056,,Billing or payment issue may require account-specific action.,
431,@SpotifyCares is anybody going to support? I am still waiting as a paying premium customer and cannot log in on any device. Disgraceful,ACCOUNT_LOGIN_SECURITY,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.2896496295131752,,Potential account security or unauthorized-access issue.,
456,@115888 whats up with the iOS app deleting my saved music every 2-3 weeks? I love paying to re download music all the time https://t.co/Rx35ZoJF2L,DOWNLOAD_OFFLINE,DOWNLOAD_OFFLINE,AUTO_HANDLE,AUTO_HANDLE,0.29359140103942527,,Intent is identifiable and similar historical support cases were found.,
461,"@SpotifyCares Hello, I believe a fraudulent charge was made on my Spotify acct. Please let me know who I can talk to at Spotify about this",PAYMENT_BILLING,ACCOUNT_LOGIN_SECURITY,ESCALATE,ESCALATE,0.3129169031054419,,Potential account security or unauthorized-access issue.,
465,@115888 video ads with sound playing frequently over the top of current tracks is poor form. Happening every couple of minutes...,ADS_FREE_TIER,ADS_FREE_TIER,AUTO_HANDLE,AUTO_HANDLE,0.23448085254666015,,Intent is identifiable and similar historical support cases were found.,
468,@SpotifyCares any help on why my payment won't go through?,PAYMENT_BILLING,PAYMENT_BILLING,ESCALATE,ESCALATE,0.4822443019322751,,Billing or payment issue may require account-specific action.,
513,@115888 There is any way to find the songs that I gave a thumb up on the radio? where do they go? I don't have any playlist or removed playlist related to that...,PLAYLIST_LIBRARY,FEATURE_REQUEST,AUTO_HANDLE,AUTO_HANDLE,0.23151840011708577,,Intent is identifiable and similar historical support cases were found.,
538,@SpotifyCares I am supposed to have a premium subscription for two users through our cell phone provider and it says we don't have premium? help pls,PREMIUM_SUBSCRIPTION,PREMIUM_SUBSCRIPTION,ESCALATE,ESCALATE,0.223134300891804,,Subscription status may require checking the user's account.,
610,"@SpotifyCares for the third time this year I've been charged in excess of the student rate, yet I'm still a student. Can you assist?",FAMILY_STUDENT_PLANS,FAMILY_STUDENT_PLANS,ESCALATE,ESCALATE,0.298115413241803,,Billing or payment issue may require account-specific action.,
627,@117168 WHY AM I GETTING BABY JOGGER ADS??! I DO NOT WANT BABIES MAKE IT STOP,ADS_FREE_TIER,ADS_FREE_TIER,AUTO_HANDLE,AUTO_HANDLE,0.31070237231862646,,Intent is identifiable and similar historical support cases were found.,
743,I tried to deactivate my @115888 account more than once and only today did it I hope cancel because I have lost $50 on an app I DONT EVEN USE!!!,PAYMENT_BILLING,ACCOUNT_LOGIN_SECURITY,AUTO_HANDLE,AUTO_HANDLE,0.22133921718005034,,Intent is identifiable and similar historical support cases were found.,
775,"@SpotifyCares Having issues updating my payment method on both mobile and desktop sites. Progress wheel keeps spinning when I hit ""continue"". Help?",PAYMENT_BILLING,APP_TECHNICAL_ISSUE,AUTO_HANDLE,AUTO_HANDLE,0.36870833040246487,,Intent is identifiable and similar historical support cases were found.,
776,@118266 min kalo mau langganan tp gapunya kartu kredit gimana caranya ya? kebetulan saya pake indosat,PAYMENT_BILLING,ADS_FREE_TIER,AUTO_HANDLE,AUTO_HANDLE,0.4238111337099032,,Intent is identifiable and similar historical support cases were found.,
