sample_id,text,intent,historical_evidence,generated_reply,correctness,groundedness,helpfulness,tone,hallucination_free,overall,human_reason
41,"Hey, @SpotifyCares, we want to create lists with our podcast episodes! 😝",FEATURE_REQUEST,"[{'customer_message': '@SpotifyCares we want reputation', 'spotify_reply': ""@731458 Hey Lara. Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /VK"", 'customer_tweet_id': np.int64(2580713), 'spotify_reply_id': np.int64(2580712), 'similarity': 0.3981282411282624}, {'customer_message': '@SpotifyCares Can I make a playlist of podcast episodes? Coming soon? Sooner please?', 'spotify_reply': ""@582362 Hey! We're afraid this isn't possible, but you can suggest it in our Community at https://t.co/rtDvYZOF32 & get support from other users /NS"", 'customer_tweet_id': np.int64(1964313), 'spotify_reply_id': np.int64(1964311), 'similarity': 0.2770935451648496}, {'customer_message': '@SpotifyCares how do we put our podcast on Spotify??? Thanks', 'spotify_reply': '@649746 Hey, thanks for your interest! For more info on getting your podcast on Spotify, check out: https://t.co/D5baW5biel 🙂 /JT', 'customer_tweet_id': np.int64(2225754), 'spotify_reply_id': np.int64(2225753), 'similarity': 0.2680274034219511}]","We're afraid this isn't possible at the moment, but you can suggest it in our Community at https://community.spotify.com/ and get support from other users.",4,4,4,5,4,4,help was asked but reply was given to get support from other users
sample_id,text,intent,historical_evidence,generated_reply,correctness,groundedness,helpfulness,tone,hallucination_free,overall,human_reason
57,"@SpotifyCares i changed my Facebook profile picture back in may and although it has updated on your website, it has not on my app, both on laptop and phone","APP_TECHNICAL_ISSUE","[{customer_message: '@SpotifyCares i changed my email on facebook and it’s not updating on spotify', spotify_reply: 'Hey! We''ve just sent you a bit more info over DM. We''ll carry on helping out there', similarity: 0.2145}]","Hey! We'd be happy to help. Can you send us a DM with your account's email address?",4,4,4,5,5,4,"The reply gives a reasonable next step and is consistent with how similar Facebook/profile issues were handled."
67,"@115888 why can't you do this for metal, metal-core, hardcore, ect???? https://t.co/4HMjznIFNg","FEATURE_REQUEST","[{customer_message: '@115888 why do you do this', spotify_reply: 'To reduce the number of Suggested Tracks you get, try adding more artists into your playlists.', similarity: 0.4228}]","We appreciate your feedback! We're always working to improve the Spotify experience. If you have specific suggestions for new features or content, we recommend sharing them in our Community.",3,4,3,5,5,3,"It appropriately treats the message as feedback, but it does not specifically address the requested metal genres."
73,"@SpotifyCares Yep. All that I tried. Even uninstalled, restarted. Removed all data by hand. Installed again. The default settings was set to SD card, but all music ended on the internal storage.","GENERAL_OTHER","[{customer_message: '@SpotifyCares 36.1Gb free Spotify 8.4.24.871armV7 Android 6.0 When I set the storage to SD card, after the reboot it is again set to internal storage.', spotify_reply: 'Alright. Can you try reinstalling the app using the steps here?', similarity: 0.3299}]","Thanks for letting us know what you've tried. Can you tell us what Android and Spotify versions you're using? We'll see what we can suggest.",3,4,3,5,5,3,"The version question is supported by similar cases, but the customer already described extensive troubleshooting so the reply is somewhat generic."
75,"@115888 Hey! I can't sign in with my username and password with my TouchTunes @90737 new account. My Samsung mobile account needs updating, too! @125607 I CHANGED my name legally this year. Problems tonight as I am out TRYING to have a good time!","ACCOUNT_LOGIN_SECURITY","[{customer_message: '@SpotifyCares i can''t sign in', spotify_reply: 'We''ve sent a bit more info via DM. Let''s carry on chatting there', similarity: 0.2462}]","Hi there! We'd be happy to help you get back into your account. We've sent you a DM so we can get some more information.",3,4,3,5,5,3,"DM support is appropriate for the login problem, but the response does not acknowledge the other account and name-change issues."
80,"@115888 Where the hell are my buttons to access library and so on? #UIDisaster On th verge of switching if you don’t stop messing with the UI. https://t.co/NfDF1SH5pK","FEATURE_REQUEST","[{customer_message: '@115888 where the hell is Super Slimy?', spotify_reply: 'Fingers crossed we''ll be able to have it soon, but there''s info about Spotify content here', similarity: 0.2600}]","We understand that changes to the user interface can be frustrating. Could you please provide more details about what you're seeing and what device you're using? This will help us understand the issue better.",2,1,2,4,5,2,"The customer is complaining about missing UI/library buttons, while the retrieved evidence is about music availability and is not relevant."
87,"@115888 @SpotifyCares please fix your artist.spotify contact page.","GENERAL_OTHER","[{customer_message: '@178316 @SpotifyCares please fix? =)', spotify_reply: 'Hey there! We''d love to help. Can you let us know what''s happening exactly?', similarity: 0.4817}]","Hey there! We'd love to help. Can you let us know what's happening exactly?",3,5,3,5,5,3,"Asking for more details is reasonable and grounded, but the response is too generic for the specific artist contact-page problem."
90,"@115888 I'd like to get the premium version but here Is the case I don't have a credit card but I've enough fund in my Google play Store. Please I want find out if I can pay via Google play Store, BTC or iTunes gift card. Please waiting for your response. Thanks Gerd!!!","PAYMENT_BILLING","[{customer_message: '@SpotifyCares Hi, Please I don''t have a credit card and I''d like pay via my Google play Store.', spotify_reply: 'We''ve just sent you a DM. We''ll carry on helping out there', similarity: 0.4918}]","We've sent you a DM to help with your payment options.",3,4,3,4,5,3,"The DM route is safe and supported by similar cases, but the reply does not answer the specific payment-method questions."
105,"@SpotifyCares Not sure to be honest. No other issues with Spotify though at all.","APP_TECHNICAL_ISSUE","[{customer_message: '@SpotifyCares Not sure about that.', spotify_reply: 'Sorry to hear you feel that way. We do our best to have them!', similarity: 0.2341}]","Thanks for letting us know! To help us understand what's happening, could you tell us more about the issue you're experiencing?",1,2,1,4,5,1,"The customer explicitly says there are no other issues, but the reply asks them to explain an issue."
106,"That moment when you wonder if you should be tweeting to @SpotifyCares or @comcastcares because not a single song has played without interruption... 😩","FEATURE_REQUEST","[{customer_message: 'Great non answer, you should be a politician', spotify_reply: 'Are all your Daily Mixes not updating? If so, can you DM us...', similarity: 0.2033}]","Sorry to hear you're having trouble with interruptions. To help us understand what's happening, could you tell us a bit more about what you're experiencing? For example, are you streaming over Wi-Fi or mobile data?",2,2,2,4,5,2,"The reply recognizes a playback problem but the classifier and retrieved evidence are poorly aligned with the customer's actual issue."
107,"@SpotifyCares when is yelawolf new album available on @116130","MUSIC_CONTENT_AVAILABILITY","[{customer_message: '@116130 When is the new album available please?', spotify_reply: 'We’ll have it available to you as soon as it’s available to us.', similarity: 0.5030}]","Hi there! We'll have it available to you as soon as it's available to us.",5,5,4,5,5,4,"It directly answers the availability question and closely follows relevant historical Spotify evidence without inventing a release date."
109,"Wait so when can we listen to #Reputation on @115888 ?? @118062","MUSIC_CONTENT_AVAILABILITY","[{customer_message: 'why isn’t #Reputation on @115888 @118062 ??????', spotify_reply: 'Taylor Swift''s Reputation isn''t available to stream just yet – stay tuned.', similarity: 0.4720}]","We’ll have it available to you as soon as it’s available to us!",5,5,4,5,5,4,"The response directly addresses the album availability question and is well supported by similar historical cases."
110,"@SpotifyCares Listening to Spotify thru my web browser cuz I’m at work. It booted me out and won’t let me log back in. 😩","APP_TECHNICAL_ISSUE","[{customer_message: 'Why has my Spotify logged me out and won’t let me log back in?', spotify_reply: 'Can you DM us your account username or email address? We''ll take a look', similarity: 0.4505}]","Hey there! We can help. Could you please DM us your account's email address or username? We'll take a look.",5,5,4,5,5,4,"The reply is strongly supported by nearly identical login cases and gives an appropriate next step."
111,"@SpotifyCares Apparently there is no contact form anymore. How do i get my issues fixed!","GENERAL_OTHER","[{customer_message: '@115888 how do I get account support?', spotify_reply: 'We''ve just sent a DM your way. Let''s carry on chatting there', similarity: 0.2488}]","We're here to help! Please send us a DM with more details about the issues you're experiencing.",3,4,3,5,5,3,"Sending the customer to DM is grounded in the historical evidence, but the response does not directly address the missing contact-form concern."
114,"@SpotifyCares is there any Siri integration with Spotify?","GENERAL_OTHER","[{customer_message: 'Please add Siri integration to the app or I''m moving to @115948.', spotify_reply: 'We hear you. Rest assured, your feedback will be passed on to the right folks', similarity: 0.3787}]","We hear you! We'll pass your feedback on to the right team.",2,5,1,4,5,2,"The response treats the question as a feature request and fails to answer whether Siri integration exists."
